Unnamed: 0,club,position,id,gender,trained_10_week,trained_im,has_trainer,cadence,age,bmi,n_marathons_run,bib_colour,VO2_max,heart_rate,shoe_size,time_seconds
13457,Run every day,37,13415,0,4.259659166184035,5.216001387119522,0,173,29.0,22.99,15,3,92.53,68.01,9,3192
10718,Flash boys,38,10685,0,4.301570388212152,4.658416320080943,1,166,46.0,23.44,17,3,76.72,65.51,8,3197
463,Best foot forward,39,461,0,5.020128860002948,5.080122069332057,0,169,22.0,26.16,16,3,78.59,60.31,11,3199
11429,Forest's running club,40,11392,1,3.809422853085298,5.191504540853013,1,178,28.0,23.79,8,3,80.27,63.07,5,3211
13458,Run every day,41,13416,0,5.932059055373315,5.932059055373315,1,169,42.0,23.38,14,3,79.3,60.9,8,3212
11431,Best foot forward,42,11394,0,5.911656552081121,5.911656552081121,0,172,18.0,26.67,13,3,74.11,63.56,8,3214
4173,Best foot forward,43,4157,0,4.675445410881791,4.964606335778201,1,163,32.0,24.4,6,3,89.11,63.84,7,3218
462,Flash boys,44,460,1,5.073449125288573,5.172305514853231,0,174,32.0,22.495630402171585,1,3,87.9,61.1,7,3220
9931,Best foot forward,45,9902,0,4.439491895418226,0.0,1,171,48.0,24.14,16,3,84.94,62.62,13,3232
10719,Road Runners,46,10686,0,5.734667479709557,5.734667479709557,1,167,55.0,22.7,5,3,78.29,62.69,8,3233
6678,Road Runners,47,6656,0,5.058453857069686,5.058453857069686,1,165,39.0,23.85,17,3,86.16,67.03,7,3246
5372,Flash boys,48,5353,0,5.459440779369167,5.459440779369167,0,174,20.0,25.7,5,3,82.67,66.05,11,3248
10698,Forest's running club,49,10665,1,4.650252434388706,4.729471210487281,1,165,29.0,25.62,19,3,77.77,63.51,5,3252
5371,Run every day,50,5352,0,5.017639546180431,5.017639546180431,0,166,24.0,27.21,20,3,91.71,64.86,12,3259
9412,Road Runners,51,9385,0,4.536701755107703,5.053600000624638,0,172,21.0,25.4,8,3,79.38,62.24,10,3259
9930,Gump's training,52,9901,1,5.049432964250299,5.180379436188685,1,176,30.0,24.93,20,3,76.92,64.61,6,3265
10717,No,53,10684,0,4.938253325835415,4.938253325835415,0,175,55.0,22.19,11,3,86.82,66.51,10,3265
11433,Best foot forward,54,11396,0,5.046096126107606,5.130313429601988,1,173,26.0,23.73,11,3,78.88,64.94,12,3268
10721,No,55,10688,1,4.995014700999498,4.995014700999498,0,168,25.0,26.19,9,4,86.71,67.78,6,3274
4174,Road Runners,56,4158,0,5.310191762072014,5.310191762072014,0,166,19.0,25.34,9,3,84.44,64.68,9,3274
5370,Mo running,57,5351,0,5.075176824931319,5.104448713471825,1,168,34.0,24.36,21,3,91.53,64.93,9,3276
13456,Runway RAF running club,58,13414,0,5.711986073206976,5.711986073206976,0,179,42.0,24.01,15,3,75.43,64.01,10,3279
1971,Run every day,59,1961,0,4.863206732206456,5.037534904375772,1,185,39.0,25.36,29,3,78.24,64.85,11,3282
10722,Runway RAF running club,60,10689,0,5.205519892551044,5.205519892551044,1,177,60.0,25.95,9,3,88.15,64.21,8,3287
2,Forest's running club,61,2,0,5.13669497384529,5.242780399611559,1,171,24.0,24.52,15,3,95.19,64.77,7,3291
11432,Forest's running club,62,11395,1,5.123320303469794,5.123320303469794,0,166,31.0,26.6,19,3,84.66,61.48,6,3293
7450,Best foot forward,63,7428,0,5.642104484695732,5.642104484695732,1,176,49.0,23.48,23,3,82.87,65.91,8,3308
464,Best foot forward,64,462,0,4.34772796347461,4.811026021113936,1,178,23.0,25.14,21,3,77.46,65.8,8,3308
8068,Flash boys,65,8044,0,4.549041835810566,4.758713989468302,0,171,67.0,24.74,13,3,77.61,66.66,12,3313
10720,Runway RAF running club,66,10687,1,5.318896285148539,0.0,0,165,18.0,25.68,20,3,81.74,65.54,4,3313
9934,Forest's running club,67,9905,0,5.090391187782777,5.095267326309046,1,170,41.0,25.45,16,3,74.92,67.62,10,3319
5373,Mo running,68,5354,0,4.316001142437133,5.09589752096521,1,189,18.0,25.03,2,3,71.7,65.99,8,3322
13459,Forest's running club,69,13417,0,5.133227065698948,5.133227065698948,1,179,46.0,24.6,15,3,75.13,66.88,8,3326
3164,The Bolts,70,3152,0,4.727029262717059,4.727029262717059,0,180,45.0,24.0,14,3,77.94,67.94,11,3327
3161,Gump's training,71,3149,0,5.548266224910925,5.548266224910925,1,165,57.0,24.81,18,3,82.21,63.55,8,3332
11430,No,72,11393,0,0.0,4.887361064420491,0,158,23.0,26.32,9,3,82.06,61.65,9,3332
1974,The Bolts,73,1964,0,4.219841564156972,4.938861783557689,0,175,23.0,25.88,21,3,80.72,63.89,12,3334
13461,No,74,13419,0,4.620943279205172,4.969638418784547,1,175,60.0,26.05,20,3,83.59,63.4,8,3336
6608,Gump's training,75,6586,1,5.286552104009869,5.286552104009869,1,177,32.0,22.96,6,3,77.03,63.18,3,3341
13460,Best foot forward,76,13418,0,4.927398957484719,4.927398957484719,1,170,45.0,25.78,8,3,82.48,62.89,11,3341
13464,No,77,13422,0,4.369029575403362,5.204613503008121,0,182,34.0,21.97,3,3,85.5,65.32,10,3341
3,Mo running,78,3,0,5.505836376858894,5.505836376858894,0,175,21.0,26.33,18,3,83.61,81.272823,8,3341
465,Gump's training,79,463,0,4.039711802941344,4.711106396772139,1,177,38.0,25.86,15,3,77.45,64.74,10,3351
4666,Gump's training,80,4648,0,4.415236918312545,4.693210211512003,1,173,57.0,24.95,22,3,83.57,61.1,10,3353
13462,No,81,13420,0,5.185767945601853,5.185767945601853,0,172,32.0,22.22,20,3,83.43,66.24,12,3357
466,Forest's running club,82,464,0,0.0,5.275298143983456,1,171,41.0,27.59,20,3,85.79,63.94,11,3358
1973,No,83,1963,0,5.018214145529391,5.224423279907795,0,171,41.0,22.495630402171585,15,3,81.3,65.8,8,3360
9933,Run every day,84,9904,0,4.604367896087642,4.665433010906414,0,172,53.0,25.77,8,3,82.15,62.57,11,3361
3163,The Bolts,85,3151,0,4.688594334303006,0.0,1,176,38.0,22.54,19,3,87.9,63.97,10,3363
4,Flash boys,86,4,1,4.75866780863061,4.830205272742648,0,171,18.0,24.94,16,3,70.57,65.75,6,3363
1972,No,87,1962,0,5.09165321356425,5.103936051743127,0,165,37.0,23.51,11,3,83.91,62.72,9,3371
6680,No,88,6658,0,4.976503351790874,5.110455760809196,0,166,50.0,26.85,8,3,82.99,66.08,9,3372
11436,Mo running,89,11399,1,4.562481446017586,5.054387317574625,0,171,27.0,22.34,14,3,82.37,65.82,5,3372
8070,Forest's running club,90,8046,1,4.971679353906481,4.988205199195639,0,163,44.0,21.98,25,3,88.23,63.06,3,3372
6679,No,91,6657,0,5.168084374855109,5.168084374855109,0,181,63.0,25.77,9,3,67.4,63.11,12,3372
9682,Gump's training,92,9655,0,4.620360275533855,5.276195597128825,0,164,39.0,28.43,10,3,80.45,67.0,10,3374
8067,Best foot forward,93,8043,0,5.164702004550611,5.164702004550611,0,171,40.0,22.13,11,3,80.83,63.14,12,3375
4175,Runway RAF running club,94,4159,0,4.696964528044698,4.702639525375258,0,164,71.0,24.15,15,3,75.44,62.48,13,3379
11434,Run every day,95,11397,0,4.935063969370521,5.426367385767835,1,183,51.0,25.13,23,3,77.06,66.37,10,3384
8072,Runway RAF running club,96,8048,0,4.254970410248395,4.957245298920437,1,165,35.0,23.68,8,3,75.85,65.44,13,3385
467,Runway RAF running club,97,465,1,4.685962501921698,5.08513975989864,0,169,46.0,22.11,13,3,44.612217,65.27,4,3386
3845,Forest's running club,98,3832,1,5.145707207296452,5.410269384646707,1,176,34.0,23.55,24,3,79.35,64.02,3,3387
4665,Flash boys,99,4647,0,6.245211478765244,6.245211478765244,1,171,18.0,24.29,8,3,84.38,81.272823,10,3388
12798,Run every day,100,12757,1,5.589216924385502,5.589216924385502,1,165,40.0,26.46,1,3,82.65,66.09,6,3392
8069,Runway RAF running club,101,8045,0,5.766043567663188,5.766043567663188,0,165,27.0,24.18,10,3,81.16,62.29,12,3399
8071,Road Runners,102,8047,0,4.846835733690883,4.846835733690883,1,179,25.0,26.8,21,3,80.29,62.23,8,3401
471,No,103,469,0,4.174419853438115,4.971460148921399,0,178,18.0,24.25,3,3,82.66,65.68,7,3401
9684,Gump's training,104,9657,0,5.365972754627277,5.365972754627277,0,173,29.0,25.25,23,3,78.98,64.09,13,3402
1977,Road Runners,105,1967,0,4.445156669066336,4.904047734908653,0,169,18.0,25.27,5,3,91.45,63.71,7,3406
8076,Flash boys,106,8052,0,4.594864039164213,4.855278309528029,1,167,24.0,21.91,10,3,85.69,62.84,7,3409
9932,Runway RAF running club,107,9903,0,4.830736256398995,4.830736256398995,0,171,22.0,24.2,3,3,82.86,62.29,11,3409
7451,No,108,7429,0,4.575433049443351,5.026432368883511,0,174,40.0,25.6,13,3,77.72,63.0,8,3413
4177,Gump's training,109,4161,0,4.253805494483378,0.0,1,168,36.0,26.11,11,3,91.09,60.68,10,3415
13463,Flash boys,110,13421,0,4.618156983610919,5.189376813513015,1,171,36.0,25.25,15,3,77.59,64.29,11,3417
3162,Runway RAF running club,111,3150,0,4.607678521321499,5.012156975413947,1,177,60.0,25.3,23,3,79.74,62.88,12,3423
5375,No,112,5356,0,5.139361653705107,5.139361653705107,0,166,30.0,24.32,15,3,88.35,66.38,8,3427
469,Mo running,113,467,0,4.040928652753697,4.996097719619256,1,177,41.0,24.69,26,3,71.78,65.73,8,3437
7096,Gump's training,114,7074,0,4.991192091619262,4.991192091619262,1,166,38.0,24.48,20,3,73.52,63.36,12,3437
13465,Mo running,115,13423,0,4.668093249656081,4.763958163376564,0,176,18.0,27.13,6,3,77.92,62.19,8,3441
9936,No,116,9907,0,5.213260721509416,5.213260721509416,0,176,25.0,29.0,11,3,75.63,63.98,9,3443
1978,No,117,1968,0,6.004631270208674,6.004631270208674,0,165,18.0,24.64,11,3,78.86,62.21,12,3446
7453,Runway RAF running club,118,7431,0,5.683751668221316,0.0,1,175,32.0,22.32,20,3,76.95,67.33,8,3446
8075,Runway RAF running club,119,8051,0,4.070608823762509,4.937219537475491,1,176,40.0,29.0,11,3,83.18,63.57,11,3447
9935,The Bolts,120,9906,0,5.226601394513438,0.0,1,173,38.0,24.03,20,3,75.11,66.37,9,3447
11435,Mo running,121,11398,0,4.43391102094085,4.908774677708059,1,168,23.0,26.41,13,3,77.05,81.272823,7,3452
468,Runway RAF running club,122,466,0,5.160713749834059,5.181692288859913,1,179,30.0,24.45,9,4,75.72,64.26,12,3452
1981,Best foot forward,123,1971,1,5.85772064831613,5.85772064831613,1,177,18.0,24.64,12,3,88.27,64.15,3,3453
470,Flash boys,124,468,0,4.280192721310176,4.789727986193446,0,173,27.0,22.81,15,3,79.13,62.05,10,3453
472,Best foot forward,125,470,0,6.21544464884717,6.21544464884717,0,177,72.0,26.98,17,3,81.05,64.78,12,3455
9683,The Bolts,126,9656,0,5.360394535279154,5.360394535279154,1,176,47.0,25.19,12,3,79.93,63.3,10,3455
1975,Best foot forward,127,1965,0,4.910088677552353,4.951444056825329,1,166,46.0,22.72,9,3,76.09,62.99,8,3458
8074,Run every day,128,8050,0,4.578544653702931,5.120022410896529,0,171,24.0,25.28,19,3,78.11,64.44,8,3466
14571,Flash boys,129,14524,0,5.004253832319856,5.41466906726209,0,174,42.0,23.51,12,3,72.55,63.04,13,3470
1976,Road Runners,130,1966,0,5.525988040569409,5.525988040569409,1,166,35.0,24.47,25,3,79.58,66.86,11,3471
11440,Road Runners,131,11403,1,5.479940089802861,5.479940089802861,1,182,32.0,26.09,6,3,77.74,61.31,3,3471
10723,Forest's running club,132,10690,0,4.328567521173027,5.145146478358481,1,178,61.0,24.75,16,3,80.02,65.97,7,3473
12799,Forest's running club,133,12758,0,5.03056864068088,5.03056864068088,1,173,33.0,22.495630402171585,26,3,44.612217,63.59,8,3473
11437,Run every day,134,11400,0,4.858357718149253,4.858357718149253,0,177,40.0,24.55,20,3,80.98,66.48,11,3474
474,The Bolts,135,472,0,5.59470656881185,5.59470656881185,1,172,61.0,22.69,10,3,73.99,64.09,12,3474
13466,No,136,13424,0,5.889159053475014,5.889159053475014,0,171,19.0,27.86,14,3,88.58,81.272823,11,3479
8073,Best foot forward,137,8049,0,5.396907147656198,5.396907147656198,1,175,40.0,26.55,19,3,83.94,65.52,10,3481
4176,Runway RAF running club,138,4160,0,4.905965856103722,5.118860610232957,0,162,65.0,22.94,14,3,80.31,66.23,9,3481
3168,Mo running,139,3156,1,4.661949771959427,4.81727998716146,0,163,50.0,24.93,13,3,81.84,65.13,3,3483
1979,No,140,1969,0,4.981743215469711,5.689163634867269,0,168,42.0,22.59,17,4,84.5,65.02,12,3487
10724,Gump's training,141,10691,0,5.129016124113089,5.465691620791164,1,178,44.0,26.72,7,3,79.75,63.28,11,3487
3166,No,142,3154,0,4.663479095711026,5.189765103532427,0,170,30.0,27.74,9,3,75.1,64.06,11,3487
13346,Road Runners,143,13304,1,5.550917830969968,5.550917830969968,1,186,42.0,22.28,14,3,77.45,81.272823,4,3490
1980,Runway RAF running club,144,1970,0,4.398659621094138,4.902761377207772,0,168,33.0,26.98,15,3,86.83,81.272823,10,3490
4178,Mo running,145,4162,0,5.579108793901062,5.579108793901062,0,162,50.0,26.17,21,3,83.79,64.87,9,3491
9937,Mo running,146,9908,0,4.859000585474458,5.138583107453206,0,163,24.0,25.56,7,3,76.85,62.7,10,3493
5378,Road Runners,147,5359,0,5.441885667887922,5.441885667887922,0,168,30.0,23.41,17,3,80.54,66.28,9,3495
7455,No,148,7433,0,4.434695332080476,4.7155799080727,0,161,39.0,24.55,12,3,86.86,63.34,7,3501
12800,Gump's training,149,12759,0,4.593162886191974,0.0,1,176,70.0,24.41,6,3,73.78,63.67,8,3503
1982,Best foot forward,150,1972,0,5.25485350684425,5.25485350684425,0,170,27.0,25.41,21,3,78.08,65.2,7,3504
5379,Best foot forward,151,5360,1,3.871673831163127,4.960655093987382,1,168,40.0,21.75,8,3,77.25,67.54,3,3504
9938,Run every day,152,9909,0,5.139308262196795,5.139308262196795,1,174,35.0,25.11,3,3,74.78,63.06,13,3505
4668,Run every day,153,4650,1,4.286322097580063,4.985615894857442,0,169,45.0,24.8,4,3,81.52,65.8,3,3506
1984,No,154,1974,0,5.049364855677314,5.068069482052209,0,165,46.0,25.56,17,3,75.46,63.94,11,3508
473,Flash boys,155,471,1,4.613521651828909,4.866660190232523,1,175,49.0,23.98,9,3,72.27,60.03,4,3510
13467,Road Runners,156,13425,0,4.495913908079013,4.776574373841685,1,170,25.0,26.22,0,3,85.67,64.62,10,3512
7456,No,157,7434,0,0.0,4.743239302236047,0,165,31.0,26.79,14,3,82.44,63.11,9,3514
4185,The Bolts,158,4169,0,5.12946922171047,5.12946922171047,0,163,56.0,23.15,18,3,71.54,65.43,13,3515
5,Mo running,159,5,0,5.586145510124298,5.586145510124298,1,176,30.0,22.48,22,3,79.8,64.46,7,3516
7458,Road Runners,160,7436,0,4.913110008856421,5.028359198660976,0,173,61.0,23.98,12,3,86.64,61.56,11,3523
5380,Best foot forward,161,5361,0,4.696347041362024,4.92948829369408,1,168,18.0,23.3,10,3,92.39,66.25,8,3523
475,No,162,473,0,5.02092273685154,5.044669992228799,0,176,42.0,24.08,13,3,76.03,66.31,12,3524
14572,The Bolts,163,14525,0,4.386436038007981,4.917493000813576,1,175,29.0,24.84,5,3,81.84,65.21,8,3525
7452,Road Runners,164,7430,0,5.001771548418128,5.001771548418128,1,175,43.0,26.73,11,3,83.33,67.15,13,3528
5377,Runway RAF running club,165,5358,0,6.028619217896292,6.028619217896292,0,175,22.0,24.75,12,3,44.612217,65.06,12,3529
13469,No,166,13427,0,4.918507992343004,4.918507992343004,0,171,18.0,24.0,7,3,81.28,61.45,9,3530
4180,The Bolts,167,4164,0,4.769794234079519,4.919409164788592,1,167,18.0,25.73,9,3,81.77,81.272823,12,3537
4667,No,168,4649,0,6.268005063638291,6.268005063638291,0,169,72.0,25.55,16,3,86.5,63.32,7,3545
3165,Run every day,169,3153,0,5.184064003495994,5.184064003495994,0,175,20.0,23.73,11,3,70.73,62.2,10,3545
11439,Gump's training,170,11402,1,3.647511201613151,4.732375314138173,0,166,34.0,22.95,20,3,79.12,62.03,5,3546
4181,Best foot forward,171,4165,0,4.85077247485188,4.85077247485188,1,186,27.0,24.08,7,3,79.87,62.61,8,3547
11438,No,172,11401,0,4.659782070579022,4.818963717846422,0,170,24.0,23.59,17,3,77.44,64.5,12,3549
5386,Best foot forward,173,5367,1,4.836690399056542,4.923964250365748,0,173,30.0,23.93,15,3,71.52,66.42,4,3550
5376,Road Runners,174,5357,0,5.303163514596354,5.303163514596354,1,165,29.0,24.65,19,3,82.41,63.15,13,3551
9685,Best foot forward,175,9658,1,4.977715112414857,4.977715112414857,1,173,47.0,24.29,14,3,74.92,63.03,4,3555
8078,Flash boys,176,8054,0,5.217066082857004,5.217066082857004,1,177,32.0,22.495630402171585,16,3,77.25,63.96,7,3556
8077,Best foot forward,177,8053,0,4.731438673061769,4.96374599323465,1,169,50.0,23.34,20,3,80.81,61.54,8,3559
11442,Flash boys,178,11405,0,5.796035613984055,5.796035613984055,1,170,56.0,22.44,14,3,76.06,64.52,8,3560
7454,No,179,7432,0,5.764150143947012,5.764150143947012,0,173,38.0,27.73,17,3,73.04,64.46,7,3562
3846,No,180,3833,0,4.470705810266743,5.051429083028921,0,166,42.0,28.28,17,3,81.63,66.29,13,3563
3167,Forest's running club,181,3155,0,5.162112201734883,5.264572482916848,1,175,53.0,24.1,20,3,78.98,62.36,11,3564
11443,Best foot forward,182,11406,0,4.8749766343802,5.157530474420627,1,169,40.0,25.57,18,3,77.66,61.95,7,3564
9939,Road Runners,183,9910,0,4.917795909593417,4.917795909593417,0,173,25.0,26.9,19,3,74.91,65.54,9,3567
4182,Run every day,184,4166,0,5.029511691077375,5.029511691077375,0,171,43.0,25.72,20,3,80.32,81.272823,8,3571
1989,Gump's training,185,1979,1,4.741541237910655,5.02828234227673,1,178,24.0,26.0,8,3,81.64,65.19,3,3573
1985,No,186,1975,0,4.03646862945368,5.268321990862675,0,172,18.0,26.82,14,3,81.19,63.5,7,3575
1983,Road Runners,187,1973,0,4.949355706381722,4.949355706381722,0,171,34.0,27.76,25,3,79.61,62.0,10,3576
1988,Best foot forward,188,1978,0,5.576050135875954,5.576050135875954,0,172,42.0,24.68,10,3,79.43,67.17,13,3577
13473,Flash boys,189,13431,0,5.046599400932801,5.190384404767125,0,174,61.0,26.52,16,3,84.97,68.77,13,3582
3848,No,190,3835,0,4.283321951160989,5.340329561454298,0,176,49.0,24.26,12,3,82.37,63.59,10,3584
11445,No,191,11408,0,5.242786209215071,5.242786209215071,0,159,45.0,22.46,34,3,86.56,64.91,7,3585
5382,The Bolts,192,5363,1,5.521842415212077,5.521842415212077,1,176,43.0,21.82,1,3,74.01,63.21,3,3585
4179,Run every day,193,4163,0,5.471003177183509,5.471003177183509,1,170,37.0,27.72,5,3,82.25,63.05,9,3588
9940,No,194,9911,0,5.283544737590645,5.283544737590645,0,173,36.0,25.11,7,3,83.98,66.54,9,3588
7457,No,195,7435,0,5.406878556297803,5.406878556297803,0,158,46.0,25.26,20,3,77.37,65.36,7,3590
13468,Best foot forward,196,13426,0,4.850914433411159,5.062152887118461,0,173,31.0,22.495630402171585,15,3,76.5,65.56,7,3593
9942,Flash boys,197,9913,1,5.017454516802045,5.357631033161851,1,177,55.0,25.71,21,3,86.43,62.9,3,3594
3847,Runway RAF running club,198,3834,0,4.90563446528416,4.90563446528416,1,176,27.0,24.01,22,3,77.53,65.93,8,3595
11441,No,199,11404,0,5.219623712261258,5.219623712261258,0,169,52.0,23.95,19,3,85.72,65.99,10,3595
13474,Run every day,200,13432,1,4.515190984626563,5.14813123395668,1,174,46.0,25.63,18,3,82.87,61.89,7,3597
478,Mo running,201,476,0,4.954878081159381,4.954878081159381,1,167,47.0,26.55,18,3,87.61,62.14,7,3598
13471,No,202,13429,0,0.0,5.073248916081335,0,163,39.0,25.09,13,3,77.83,64.53,7,3599
11444,Runway RAF running club,203,11407,0,5.74929288404208,5.74929288404208,1,176,36.0,25.82,7,3,73.84,65.81,11,3600
8080,No,204,8056,0,4.56525243559628,5.096745069340313,0,181,31.0,26.61,14,3,70.18,66.92,7,3606
6,Forest's running club,205,6,1,3.880406819518103,4.638073303386675,1,176,25.0,24.07,16,3,44.612217,64.0,5,3607
7097,No,206,7075,0,5.039069349870362,5.11805723763639,0,169,51.0,24.6,22,3,44.612217,64.87,8,3608
9941,No,207,9912,0,4.925934640994686,4.925934640994686,0,171,26.0,22.25,7,3,74.9,62.89,9,3609
8,Forest's running club,208,8,1,4.204952439690106,0.0,0,165,18.0,23.34,21,3,88.69,64.62,6,3613
7459,Mo running,209,7437,1,5.764269078037186,5.764269078037186,1,178,24.0,26.39,11,3,79.79,65.18,5,3614
6682,No,210,6660,0,4.392193439221893,5.080806340095027,0,172,26.0,23.53,25,3,85.84,62.68,13,3615
8084,Gump's training,211,8060,0,4.428871234315165,4.683772420641996,0,170,44.0,26.41,8,3,79.02,64.95,11,3617
476,Run every day,212,474,0,4.50045527561908,4.760493276893659,1,175,83.0,24.45,24,3,87.79,67.87,9,3617
1987,The Bolts,213,1977,0,4.758585674948245,5.159351541173799,1,168,49.0,25.93,16,3,85.59,65.67,12,3618
6681,Mo running,214,6659,0,4.643918722837283,5.067753228616727,1,169,47.0,26.04,21,3,89.64,65.78,11,3618
12801,No,215,12760,0,5.4407513163424,5.4407513163424,0,176,38.0,25.06,6,3,82.87,60.8,7,3618
477,Best foot forward,216,475,0,5.015838497924808,5.015838497924808,0,172,21.0,23.86,8,3,44.612217,63.99,10,3621
10726,The Bolts,217,10693,1,5.435455558103963,5.435455558103963,0,172,55.0,23.48,9,3,78.0,66.4,4,3622
13472,Flash boys,218,13430,0,5.580592403549853,0.0,1,170,60.0,26.79,26,3,82.73,62.65,8,3626
5381,Flash boys,219,5362,0,5.464254989021706,5.464254989021706,0,169,23.0,25.24,8,3,44.612217,62.3,13,3626
8079,No,220,8055,1,5.069985063820712,5.069985063820712,0,175,18.0,26.06,9,3,83.13,64.84,6,3626
8083,Road Runners,221,8059,0,5.61410165202944,5.61410165202944,1,174,42.0,26.64,26,3,77.09,61.13,11,3627
7,No,222,7,0,5.194264785346208,5.194264785346208,0,171,33.0,25.22,27,3,86.23,65.1,8,3630
13475,No,223,13433,0,3.923259831625485,4.759223537969584,0,171,43.0,23.66,17,3,77.96,67.58,10,3631
13347,The Bolts,224,13305,0,4.493903559534147,4.998336218295248,0,177,29.0,22.495630402171585,9,3,83.2,60.29,10,3631
5383,No,225,5364,0,4.065264900565404,4.850819071006018,0,173,48.0,23.93,19,3,86.4,64.63,11,3633
1986,Road Runners,226,1976,0,4.929107235346163,4.929107235346163,1,174,18.0,24.86,24,3,83.84,63.47,7,3634
5385,No,227,5366,0,5.54932374681951,5.54932374681951,0,167,18.0,27.53,8,3,83.46,63.39,8,3634
8085,Runway RAF running club,228,8061,1,4.820225994258891,4.858397508998509,1,183,24.0,22.495630402171585,10,3,71.44,66.78,7,3635
4669,Road Runners,229,4651,1,5.002435048438172,5.002435048438172,0,167,18.0,24.6,7,3,81.94,67.33,3,3636
